ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
5819,SP,Albert Abreu,Tacoma,34556, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,8.1,36,33,9,7,0,0,2,7,7,2,0,8,1,.304,0,0,1,0,0,0.83,69,138,8,8,0,1,6.00,-0.0,0.1,0.0,3.38,1,2,2,1,1,0,0,0,0,1.000,1.08,0.1,.000,1,1,8.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.3,0.0
5438,SP,Joan Adon,Tucson,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,6,6,27.2,124,107,28,16,8,0,4,14,14,15,0,38,1,.364,0,1,1,0,0,0.97,84,508,23,19,1,3,4.59,-0.3,0.8,0.9,3.07,1,6,6,2,1,1,0,0,0,1.000,0.65,0.3,.000,4,3,27.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
4788,SP,Joan Adon,Ouran,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,13.1,65,55,18,10,3,1,4,11,11,9,0,15,1,.389,0,0,0,2,0,0.75,92,277,15,7,2,1,7.62,-0.5,0.0,0.1,4.29,1,3,3,1,1,0,0,0,0,1.000,0.67,-0.4,1.080,3,1,13.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.1,0.0
4768,SP,Joan Adon,Mendocino,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.0,18,13,4,1,0,1,2,5,5,3,0,3,1,.222,0,1,0,2,0,1.04,74,74,5,2,1,0,11.72,-0.3,-0.1,-0.1,5.44,1,1,1,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,4.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
4682,SP,Joan Adon,Corey St.,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,20,18,3,0,1,1,1,1,1,2,0,8,0,.222,0,0,0,1,0,0.90,92,92,5,2,0,0,4.29,0.2,0.2,0.3,2.12,1,1,1,1,0,1,0,0,0,1.000,1.69,0.1,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
4371,SP,Joan Adon,Brampton,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.1,44,36,9,4,3,0,2,9,9,7,0,9,1,.280,0,0,0,1,0,0.62,72,144,9,9,0,0,7.15,-0.5,0.0,-0.0,4.81,1,2,2,1,0,1,0,0,0,1.000,0.96,0.1,.000,0,0,9.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
4065,SP,Joan Adon,Yankee Suck,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,10.0,47,41,13,6,6,0,1,8,8,5,0,12,1,.429,0,0,0,1,0,1.00,89,178,8,8,0,1,4.42,-0.2,0.3,0.1,3.52,1,2,2,2,1,1,0,0,0,1.000,1.80,0.3,1.080,1,1,10.0,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,0.1,0.0
4033,SP,Joan Adon,Virginia,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,6.2,33,30,13,10,2,1,0,6,6,3,0,9,0,.619,0,0,0,1,0,0.90,72,145,6,2,1,1,2.37,-0.2,0.3,0.0,3.27,1,2,2,2,2,0,0,0,0,1.000,2.70,-0.2,.000,2,1,6.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
3721,SP,Joan Adon,Somerset,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,7,7,30.2,133,114,25,15,4,0,6,13,12,15,0,36,2,.257,0,2,0,0,0,0.93,77,542,29,26,3,1,5.58,-0.0,0.6,1.2,3.41,1,7,7,2,0,2,0,0,0,1.000,0.59,-0.6,.000,4,1,30.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0
3206,SP,Joan Adon,Seattle,34355, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.0,40,35,9,6,0,0,3,6,6,5,0,10,0,.273,0,0,1,1,0,1.01,87,174,10,5,0,1,7.50,-0.3,0.0,0.2,3.91,1,2,2,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,9.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0
